ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Labrus mixtus,Labrus mixtus,789965,ncbi:508554;worms:151501;gbif:2383649;irmng:10155384
Phycodurus eques,Phycodurus eques,435643,ncbi:693459;worms:282248;gbif:2332986;irmng:10156148
Siniperca chuatsi,Siniperca chuatsi,399519,ncbi:119488;gbif:2380448;irmng:10679419
Oryzias melastigma,Oryzias melastigma,179491,ncbi:30732;worms:315132;gbif:2368408
Dicentrarchus labrax,Dicentrarchus labrax,3549,ncbi:13489;worms:126975;gbif:2394622;irmng:10144924
Clupea harengus,Clupea harengus,1005932,ncbi:7950;worms:126417;gbif:8351946;irmng:10579632
Gambusia affinis,Gambusia affinis,617445,ncbi:33528;worms:159325;gbif:2350580;irmng:10726511
Cyprinus carpio,Cyprinus carpio,429083,ncbi:7962;worms:154582;gbif:4286975;irmng:10150179;irmng:10704119
Xiphias gladius,Xiphias gladius,358621,ncbi:8245;worms:127094;gbif:2397850;irmng:11164519
Ictalurus punctatus,Ictalurus punctatus,701523,ncbi:7998;worms:465537;gbif:5202520;irmng:10453294
Solea solea,Solea solea,710233,ncbi:90069;worms:127160;gbif:5214139;irmng:10150800
Gadus morhua,Gadus morhua (species in domain Eukaryota),114170,ncbi:8049;worms:126436;gbif:8084280;irmng:11806040;irmng:11195684
Limanda limanda,Limanda limanda,804463,ncbi:27771;worms:127139;gbif:5213960;irmng:11075303
Seriola aureovittata,Seriola lalandi,597848,ncbi:302047;worms:218436;gbif:5961708;irmng:10890313
Mugil cephalus,Mugil cephalus,418648,ncbi:48193;worms:126983;worms:273651;gbif:2400627;gbif:8189568;irmng:10852315;irmng:10852490
Kryptolebias marmoratus,Kryptolebias marmoratus,229709,ncbi:37003;worms:314719;gbif:2349291;irmng:10145506;irmng:10149738
Salmo salar,Salmo salar,688328,ncbi:8030;worms:127186;gbif:7595433;irmng:11127393
Silurus meridionalis,Silurus meridionalis,203409,ncbi:175797;gbif:2337616;irmng:10574739
Channa argus,Channa argus,229205,ncbi:215402;worms:594763;gbif:4284921;irmng:10574204
Pempheris klunzingeri,Pempheris klunzingeri,3633526,worms:277060;gbif:2374370;irmng:10759047
Etheostoma cragini,Etheostoma cragini,322405,ncbi:417921;gbif:2382268;irmng:10158011
Tachysurus vachellii,Tachysurus vachellii,203399,ncbi:175792;gbif:5851632;irmng:10575326
Brienomyrus brachyistius,Brienomyrus brachyistius,483231,ncbi:42636;worms:279990;gbif:2402748;irmng:10150275
Hippoglossus stenolepis,Hippoglossus stenolepis,831503,ncbi:195615;worms:274290;gbif:2409216;irmng:10148334
Tachysurus fulvidraco,Tachysurus fulvidraco,119433,ncbi:1234273;gbif:6168091
Larimichthys crocea,Larimichthys crocea,679823,ncbi:215358;worms:281271;gbif:2400181;irmng:10453801
Gadus chalcogrammus,Gadus chalcogrammus,1056842,ncbi:1042646;worms:300735;worms:990089;gbif:2415769;gbif:2415760;irmng:11419391;irmng:10151820
Platichthys flesus,Platichthys flesus,408331,ncbi:8260;worms:127141;gbif:2409330;irmng:10758506
Anoplopoma fimbria,Anoplopoma fimbria,441856,ncbi:229290;worms:159463;gbif:2335062;irmng:11188075
Eleginops maclovinus,Eleginops maclovinus,816883,ncbi:56733;worms:280634;gbif:2382427;irmng:10570462
Pleuronectes platessa,Pleuronectes platessa,408337,ncbi:8262;worms:127143;gbif:7700106;irmng:10448892
Trachinotus anak,Trachinotus anak,280167,ncbi:443729;worms:273288;gbif:5210694;irmng:10154290
Pangasianodon hypophthalmus,Pangasianodon hypophthalmus,896075,ncbi:310915;worms:888194;gbif:2340714;irmng:10148559
Synchiropus splendidus,Synchiropus splendidus,367540,ncbi:270530;worms:273264;gbif:2386640;irmng:10153138
Solea senegalensis,Solea senegalensis,366998,ncbi:28829;worms:127159;gbif:5214129;irmng:10158838
Paralichthys olivaceus,Paralichthys olivaceus,883392,ncbi:8255;worms:275816;gbif:2408877;irmng:10994742
Hippocampus zosterae,Hippocampus zosterae,57108,ncbi:109293;worms:275213;gbif:5201131;irmng:10151509
Hemibagrus wyckioides,Hemibagrus wyckioides,45425,ncbi:337641;gbif:2338196;irmng:10852521
Scophthalmus maximus,Scophthalmus maximus,778695,ncbi:52904;worms:127149;gbif:2409418;irmng:11226408
Morone saxatilis,Morone saxatilis,223669,ncbi:34816;worms:151179;gbif:2394612;irmng:10154025
Pseudoliparis swirei,Pseudoliparis swirei,7061685,ncbi:2059687;gbif:9627685
Enoplosus armatus,Enoplosus armatus,54499,ncbi:215367;worms:280685;gbif:2391990;irmng:11325360
Lates calcarifer,Lates calcarifer,437601,ncbi:8187;worms:278957;gbif:2393172;irmng:11125159
Cottoperca gobio,Cottoperca gobio,867530,ncbi:56716;worms:280409;gbif:2398040;irmng:10143927
Mastacembelus armatus,Mastacembelus armatus,394575,ncbi:205130;worms:281527;gbif:2351784;irmng:11416036
Puntigrus tetrazona,Puntigrus tetrazona,230500,ncbi:1606681;worms:991304;gbif:8214163
Anabas testudineus,Anabas testudineus,896431,ncbi:64144;worms:279597;gbif:2391579;irmng:10150973
Triplophysa rosa,Triplophysa rosa,694991,ncbi:992332;gbif:2357279;irmng:10035482
Brachyhypopomus gauderio,Brachyhypopomus gauderio,285141,ncbi:698409;gbif:2401793
Gadus macrocephalus,Gadus macrocephalus,56885,ncbi:80720;worms:254538;gbif:2415853;irmng:10580372
Scatophagus argus,Scatophagus argus,773212,ncbi:75038;worms:276970;gbif:2394736;irmng:10154346
Antennarius striatus,Antennarius striatus,496400,ncbi:241820;worms:158790;gbif:9116607;gbif:5214795;irmng:10144980
Triplophysa dalaica,Triplophysa dalaica,3628096,ncbi:1582913;gbif:2357272;irmng:10142013
Echeneis naucrates,Echeneis naucrates,776562,ncbi:173247;worms:126848;gbif:2375300;irmng:10153020
Parambassis ranga,Parambassis ranga,484155,ncbi:210632;worms:282072;gbif:2387235;irmng:11118718
Denticeps clupeoides,Denticeps clupeoides,80438,ncbi:299321;gbif:2413676;irmng:10152097
Carassius auratus,Carassius auratus,1005907,ncbi:7957;gbif:4286942;irmng:10153222
Siphateles boraxobius,Siphateles boraxobius,571752,ncbi:180520;gbif:7193679;irmng:10717284
